Title,Ingredients,Loves,User
opor ayam kuah susu...,"ayam, bwg merah, bawang putih, cabe merah, cabe rawit merah utuh, kemiri, kunyit, jahe, daun salam, ketumbar bubuk, jintan, lada bubuk, garamgula pasirkaldu bubuk ayam ., susu cair , air mateng,",7,105
ayam krispy sambal matah,"ayam krispy, paha ayam, sachet tepung merek ukuran sedang, butir telur ayam, jeruk nipis, garammericapenyedap, sambal matah , bawang merah, cabe rawit , terasi, minyak goreng, jeruk nipis, garamgulapenyedap,",5,106
ayam suwir sambal matah,"ayam, bawang merah, cabai merah, cabai rawit, terasi abc dibakar haluskan, lbr daun jeruk, btg serai, jeruk limau, garamgulapenyedap , minyak menumis,",6,107
ayam brokoli saus teriyaki,"dada ayam, ons brokoli, bawang bombay, bwg putih, bwg merah, cabe merah, cabe rawit ijo, saos teriyaki saori, sendok saos tiram, royco, gula, garam,",2,108
ayam kfc ala nr,"tepung roti, tepung sajiku, butir telur, ayam, air es, garam, lada, ltr myk g,",6,109
karii ayam simple,"dada ayam potong dadu, wortel potong dadu, kentang potong dadu, kol , halus , bawang merah besar, bawang putih, kemiri, jahe, ketumbar, sesuai selera cabe rawit, cabe merah, kunyit, santan cair, kaldu bubu aramgula lada pnya,",6,110
ayam kampung santan,"ayam kampung, halus, bawang merah, bawang putih, butir kemiri, cabe merah besar, cm jahe kunyit, pelengkap, batang sereh, daun salam, cabe rawit , lengkuas , garam gula, asam jawa, air kaldu,",6,111
risol sayuran + daging ayam,"kulit, am terigu, sagu, telur kocok dulu, air, isian, potong daging ayam, potong wortel, kentang potong kecilgoreng dl, daun bawang, bamer, baput, royco, lada, garam, gula, tam , telur, tepung panir,",6,112
soto ayam kediri,"ayam , ceker tulang, batang daun bawang, batang serai, daun salam, daun jeruk, lengkuas, santan suka pakai santan kental kuahnya, penyedap, garam, pelengkap , batang daun sledri , kol halus, tauge kecambah kacang hijau, kentang tipis tipis , , tomat potong sesuai selera, bawang goreng taburan, sesuai selera kecap manis, halus , butir bawang merah, butir bawang putih, kunyit, jahe, kencur, merica, ketumbar, kemiri,",4,113
ayam rica crispy,"fillet ayam, tepung maizena, tepung terigu, butir telur, bawang putih cincang, bawang bombai , cabai rawit merah , tomat, batang daun bawang, saus cabai, saus tomat, saus tiram, minyak wijen, air, air jeruk nipis marinasi ayam, garamgulamerica,",4,114
ayam mentega,"sayap ayam, bawang merah, bawang putih, cabai merah besar, laos, merica, gula, garam, saos tiram, mentega, daun bawang, kecap manis,",5,115
ayam ungkep kuning,"potong ayam, ×bumbu halus×, butir bawang merah, butir bawang putih, cm jahe, kunyit, cm kencur, cm laos, jumput ketumbar, lada, ×bumbu pelengkap×, daun jeruk, daun salam, batang serai, garam, gelas air,",5,116
ayam kecap pedas,"ayam, bawang putih, cabe gendot, cabe rawit domba , saos cabe botol , kecap manis, garamgulamerica,",0,117
ayam geprek,"potong ayam, tepung ayam, garam, biji bawang merah, biji bawang putih, air, lombok prawit biji ,",0,118
chicken wings cola,"potong sayap ayam potong , coca cola, sendok makan pasta tomat ato saos tomat, bawang putihcincang halus, jahegeprek, garamgula pasir merica, yg suka pedasboleh ditambah cabai bubuk ato saos sambel,",6,119
ayam suir kecap,"ayam, sendok makan kecap manis, empela ayam, cabe rawit, cabe merah besar, bawang merah, bawang putih, bawang bombay , kemiri, lada bubuk, penyedap ayam, batang sereh, daun salam, tomat , garam, minyak utk menumis,",6,120
suwir ayam balado,"ayam, bawang putih, bawang merah sesuai selera, ons cabai merah, daun jeruk, garam, gula, penyedap ,",8,121
mie ayam abang,"ayam kecap , potong dada ayampotong dadu, lengkuasgeprek, jahegeprek, daun salam, daun jeruk, kecap manis, gula pasir sesuai selera, garam, halus ayam kecap , bawang merah, bawang putih, merica, kunyit kunyit bubuk giling, ketumbar san ai, kemiri, batang seraiambil putihnya, minyak ayam , minyak goreng, bawang putih, kulit ayam, kuah , air, tulang ayam, garam, daun bawang, sambal , cabe rawit merah, cabe merah keriting, bawang putih, garam, pelengkap , porsi mierebus, sawipotong & rebus, daun bawang , saos sambal belibis,",5,122
bubur ayam kuning,"bubur, gelas beras, gelas air, santan kara ukuran kecil, daun salam, batang sereh , garam, kuning, bawang merah, bawang putih, jahe, butir kemiri, batang sereh , kunyit bubuk, garam, merica, kaldu bubuk, air, minyak menumis, pelengkap, ayam suwir, bawang goreng, seledri, kerupuk bawang,",0,123
pentol ayam kecap,"ayam, bawang merah, bawang putih, garam, gula, masako, butir telur ayam, tepung kanji, daun sop, lombok merah, lombok hijau, pala, ketumbar, blue band , kecap manis, tomat, air,",1,124
